run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,4,1696,temperature,50.0,0.38092296676537424,30.692751444656004
r2p8_w256_di32,4,1696,temperature,70.0,0.37079606127902814,3.6618401710929738
r2p8_w256_di32,4,1696,temperature,100.0,0.2558116016416615,1.4314271114945822
r2p8_w256_di32,4,1696,temperature,125.0,0.16940880641597242,1.680458401486636
r2p8_w256_di32,4,1696,temperature,150.0,0.1361507817232322,0.825416827488601
r2p8_w256_di32,4,1696,temperature,175.0,0.12455395877975778,0.3303324127217748
r2p8_w256_di32,4,1696,temperature,200.0,0.12989476659556026,0.1871909683717485
r2p8_w256_di32,4,1696,temperature,225.0,0.13519545711090475,0.20993889788376915
r2p8_w256_di32,4,1696,temperature,250.0,0.13230877116680964,0.1936987003919595
r2p8_w256_di32,4,1696,temperature,300.0,0.12216572812230317,0.17859319385998848
r2p8_w256_di32,4,1696,temperature,350.0,0.11342368134108606,0.15741703541520535
r2p8_w256_di32,4,1696,temperature,400.0,0.11115286237595418,0.13809240661126232
r2p8_w256_di32,4,1696,temperature,450.0,0.11125911449136602,0.13038387837790952
r2p8_w256_di32,4,1696,temperature,500.0,0.11108228455192035,0.12878800728886397
r2p8_w256_di32,4,1696,temperature,550.0,0.11616847624176556,0.13726978757229868
r2p8_w256_di32,4,1696,temperature,600.0,0.12294365673028317,0.14723076890526768
r2p8_w256_di32,4,1696,temperature,650.0,0.13241656982304714,0.16029843413030978
r2p8_w256_di32,4,1696,temperature,700.0,0.14335038165251415,0.1751146893525861
r2p8_w256_di32,4,1696,temperature,750.0,0.16344922613544563,0.19790070726699435
r2p8_w256_di32,4,1696,temperature,775.0,0.17411779215450549,0.2029761741661124
r2p8_w256_di32,4,1696,temperature,800.0,0.1904199641799599,0.24141487936998152
r2p8_w256_di32,4,1696,temperature,825.0,0.21654968975540698,0.2701684831753629
r2p8_w256_di32,4,1696,temperature,850.0,0.23338040444244634,0.33091930925231616
r2p8_w256_di32,4,1696,temperature,875.0,0.2383985525041921,0.357307421976758
r2p8_w256_di32,4,1696,temperature,900.0,0.23817769453902424,0.3360968412402569
r2p8_w256_di32,4,1696,temperature,925.0,0.24131919994591847,0.3288506822385329
r2p8_w256_di32,4,1696,temperature,950.0,0.25338859005072684,0.3460978177507309
r2p8_w256_di32,4,1696,temperature,975.0,0.28011338818319065,0.3730954790647907
r2p8_w256_di32,4,1696,temperature,1000.0,0.29223923702625065,0.4131654709884801
r2p8_w256_di32,4,1696,geopotential,1.0,904225144.566323,28332150.782130584
r2p8_w256_di32,4,1696,geopotential,2.0,421705871.6151203,5335572.815979381
r2p8_w256_di32,4,1696,geopotential,3.0,239814309.2783505,2848781.4819587627
r2p8_w256_di32,4,1696,geopotential,5.0,90220112.5718213,1267034.7583333333
r2p8_w256_di32,4,1696,geopotential,7.0,35922425.003436424,549625.7270618557
r2p8_w256_di32,4,1696,geopotential,10.0,7552648.180412371,316554.27440936427
r2p8_w256_di32,4,1696,geopotential,20.0,1870461.121821306,909846.4034364261
r2p8_w256_di32,4,1696,geopotential,30.0,3139592.8699312713,467409.72373281786
r2p8_w256_di32,4,1696,geopotential,50.0,3545.1752452312876,41227.49953286083
r2p8_w256_di32,4,1696,geopotential,70.0,3058.496623308634,62334.69631121134
